,date,amount,bal
2207,2018-07-31,-40.0,151.23
2208,2018-08-01,-7.15,144.08
2209,2018-08-01,-15.55,128.53
2210,2018-08-01,-20.02,108.51
2211,2018-08-01,-8.0,100.51
2212,2018-08-01,2726.07,2826.58
2217,2018-08-02,-780.0,1123.58
2218,2018-08-02,-6.3,1117.28
2219,2018-08-02,-8.5,1108.78
2220,2018-08-02,-6.5,1102.28
2224,2018-08-02,-100.0,852.28
2225,2018-08-02,-150.0,702.28
2229,2018-08-03,-10.24,1022.04
2230,2018-08-03,-5.8,1016.24
2231,2018-08-03,-3.5,1012.74
2232,2018-08-03,-3.5,1009.24
2233,2018-08-03,-59.0,950.24
2235,2018-08-04,-7.0,1068.24
2236,2018-08-04,-11.5,1056.74
2237,2018-08-04,-40.0,1016.74
2238,2018-08-04,-9.68,1007.06
2239,2018-08-04,-3.5,1003.56
2241,2018-08-07,-11.84,841.72
2242,2018-08-07,-62.84,778.88
2243,2018-08-07,-23.23,755.65
2244,2018-08-07,-22.15,733.5
2245,2018-08-07,-17.2,716.3
2246,2018-08-07,-3.5,712.8
2247,2018-08-07,-80.0,632.8
2248,2018-08-07,-125.0,507.8
2249,2018-08-07,-23.55,484.25
2250,2018-08-07,-13.05,471.2
2251,2018-08-07,-10.04,461.16
2252,2018-08-07,-20.0,441.16
2253,2018-08-07,-8.9,432.26
2254,2018-08-07,-44.0,388.26
2255,2018-08-07,-169.0,219.26
2260,2018-08-08,-11.65,1116.44
2261,2018-08-08,-92.0,1024.44
2262,2018-08-08,250.0,1274.44
2264,2018-08-09,-7.8,1016.64
2265,2018-08-09,-759.75,256.89
2266,2018-08-09,-25.0,231.89
2267,2018-08-09,-8.0,223.89
2268,2018-08-10,-7.0,216.89
2269,2018-08-10,-11.45,205.44
2270,2018-08-10,-12.0,193.44
2271,2018-08-10,-5.0,188.44
2272,2018-08-11,-7.0,181.44
2273,2018-08-11,-8.0,173.44
2276,2018-08-14,-40.0,278.44
2277,2018-08-14,-13.5,264.94
2278,2018-08-14,-11.0,253.94
2279,2018-08-14,-7.87,246.07
2280,2018-08-15,-3.85,242.22
2281,2018-08-15,-41.89,200.33
2282,2018-08-15,-4.0,196.33
2283,2018-08-15,-34.06,162.27
2284,2018-08-15,-6.35,155.92
2285,2018-08-15,-11.99,143.93
2286,2018-08-15,-9.99,133.94
2287,2018-08-15,-58.23,75.71
2288,2018-08-15,-22.66,53.05
2289,2018-08-15,-19.14,33.91
2290,2018-08-15,2726.07,2759.98
2291,2018-08-16,250.0,3009.98
2296,2018-08-16,-780.0,899.98
2299,2018-08-16,-7.3,658.39
2300,2018-08-16,-3.5,654.89
2301,2018-08-16,-3.5,651.39
2302,2018-08-18,-3.3,648.09
2303,2018-08-18,-3.5,644.59
2305,2018-08-19,30.0,674.19
2306,2018-08-19,80.0,754.19
2309,2018-08-21,-16.97,796.8
2310,2018-08-21,-30.0,766.8
2311,2018-08-21,-31.83,734.97
2312,2018-08-21,-9.0,725.97
2313,2018-08-21,-3.5,722.47
2314,2018-08-21,-109.58,612.89
2315,2018-08-21,-3.5,609.39
2316,2018-08-21,-2.99,606.4
2317,2018-08-21,-11.0,595.4
2318,2018-08-21,-50.0,545.4
2319,2018-08-22,-7.3,538.1
2320,2018-08-22,-21.55,516.55
2321,2018-08-22,-15.39,501.16
2322,2018-08-23,-7.3,493.86
2323,2018-08-23,-69.98,423.88
2324,2018-08-23,-3.5,420.38
2325,2018-08-23,-16.0,404.38
2326,2018-08-23,-7.0,397.38
2327,2018-08-24,-14.5,382.88
2328,2018-08-24,-7.8,375.08
2329,2018-08-25,-7.8,367.28
2330,2018-08-25,-11.99,355.29
2331,2018-08-25,-11.0,344.29
2333,2018-08-25,-40.0,344.29
2334,2018-08-26,-22.0,322.29
2335,2018-08-27,-66.0,256.29
2336,2018-08-27,12.5,268.79
2337,2018-08-27,12.5,281.29
2338,2018-08-27,12.5,293.79
2340,2018-08-27,-8.8,404.99
2342,2018-08-27,-170.0,299.99
2343,2018-08-27,-160.0,139.99
2344,2018-08-28,-20.0,119.99
2345,2018-08-28,-40.0,79.99
2346,2018-08-28,-18.71,61.28
2347,2018-08-28,-11.3,49.98
2348,2018-08-28,-4.49,45.49
2349,2018-08-28,-19.99,25.5
2351,2018-08-28,-9.5,156.0
2352,2018-08-29,-10.46,145.54
2353,2018-08-29,-19.8,125.74
2355,2018-08-29,-24.0,116.74
2356,2018-08-29,2726.07,2842.81
2361,2018-08-30,-780.0,638.94
2362,2018-08-30,-6.5,632.44
2363,2018-08-30,-99.83,532.61
2364,2018-08-30,-8.5,524.11
2365,2018-08-30,-7.35,516.76
2366,2018-08-31,25.0,541.76
2367,2018-08-31,-7.3,534.46
2368,2018-08-31,-40.0,494.46
2369,2018-09-01,-5.5,488.96
2370,2018-09-01,-0.05,488.91
2371,2018-09-01,-11.0,477.91
2372,2018-09-01,-80.0,397.91
2373,2018-09-01,-20.0,377.91
2375,2018-09-01,-80.0,357.91
2376,2018-09-01,-21.0,336.91
2377,2018-09-02,-13.2,323.71
2378,2018-09-03,-59.99,263.72
2381,2018-09-04,-11.2,436.43
2382,2018-09-04,-3.5,432.93
2383,2018-09-04,-13.5,419.43
2384,2018-09-04,12.5,431.93
2385,2018-09-05,-43.91,388.02
2386,2018-09-05,-10.5,377.52
2387,2018-09-05,-7.8,369.72
2388,2018-09-05,-7.5,362.22
2389,2018-09-05,-3.01,359.21
2390,2018-09-05,-59.0,300.21
2391,2018-09-05,-9.0,291.21
2392,2018-09-05,-8.0,283.21
2393,2018-09-05,-9.99,273.22
2394,2018-09-05,-19.99,253.23
2396,2018-09-05,38.0,714.23
2397,2018-09-06,-76.0,638.23
2398,2018-09-06,-423.97,214.26
2399,2018-09-06,-7.15,207.11
2400,2018-09-06,-9.5,197.61
2401,2018-09-06,-40.0,157.61
2403,2018-09-07,-5.0,192.61
2404,2018-09-07,-10.0,182.61
2405,2018-09-07,-5.5,177.11
2406,2018-09-07,-29.0,148.11
2408,2018-09-07,-180.0,148.11
2409,2018-09-07,-24.0,124.11
2410,2018-09-07,-34.0,90.11
2411,2018-09-08,-9.0,81.11
2412,2018-09-08,-6.0,75.11
2416,2018-09-11,-20.0,215.11
2417,2018-09-11,-5.85,209.26
2418,2018-09-11,-9.73,199.53
2419,2018-09-11,-18.0,181.53
2420,2018-09-11,-28.54,152.99
2421,2018-09-11,-7.0,145.99
2422,2018-09-11,-8.7,137.29
2423,2018-09-11,-7.8,129.49
2424,2018-09-11,-2.8,126.69
2425,2018-09-11,-5.0,121.69
2428,2018-09-11,-64.9,141.79
2429,2018-09-11,33.0,174.79
2430,2018-09-12,9.73,184.52
2431,2018-09-12,-5.98,178.54
2432,2018-09-12,-33.0,145.54
2433,2018-09-12,-15.46,130.08
2434,2018-09-12,-22.66,107.42
2435,2018-09-12,-28.5,78.92
2436,2018-09-12,-8.3,70.62
2437,2018-09-12,2726.07,2796.69
2443,2018-09-13,-780.0,589.77
2444,2018-09-13,-3.01,586.76
2445,2018-09-13,17.0,603.76
2446,2018-09-14,-11.99,591.77
2447,2018-09-14,-100.0,491.77
2449,2018-09-14,-13.8,577.97
2450,2018-09-14,-18.6,559.37
2451,2018-09-14,-25.99,533.38
2452,2018-09-15,-82.5,450.88
2453,2018-09-15,-13.69,437.19
2454,2018-09-15,-3.15,434.04
2456,2018-09-16,-34.0,509.62
2457,2018-09-17,-9.0,500.62
2458,2018-09-18,-9.5,491.12
2459,2018-09-18,-19.0,472.12
2460,2018-09-19,-18.44,453.68
2461,2018-09-19,-8.0,445.68
2462,2018-09-19,-8.0,437.68
2463,2018-09-20,-16.99,420.69
2464,2018-09-20,-109.58,311.11
2465,2018-09-20,-31.54,279.57
2466,2018-09-20,50.0,329.57
2469,2018-09-20,-7.5,344.07
2470,2018-09-20,37.0,381.07
2471,2018-09-20,-43.91,337.16
2472,2018-09-21,4799.0,5136.16
2473,2018-09-21,-7.98,5128.18
2474,2018-09-21,-5000.0,128.18
2476,2018-09-21,-40.0,289.18
2477,2018-09-21,34.0,323.18
2478,2018-09-22,-72.0,251.18
2479,2018-09-22,-50.0,201.18
2480,2018-09-24,-7.5,193.68
2482,2018-09-25,-6.0,387.68
2483,2018-09-25,-3.5,384.18
2484,2018-09-25,-7.49,376.69
2485,2018-09-25,-5.95,370.74
2486,2018-09-25,-29.75,340.99
2487,2018-09-25,-30.0,310.99
2488,2018-09-25,-7.5,303.49
2489,2018-09-25,-8.0,295.49
2490,2018-09-25,-160.0,135.49
2491,2018-09-26,-36.0,99.49
2492,2018-09-26,-27.2,72.29
2493,2018-09-26,-10.33,61.96
2494,2018-09-26,-139.0,-77.04
2496,2018-09-26,-8.0,114.96
2497,2018-09-26,-11.9,103.06
2498,2018-09-26,2726.07,2829.13
2503,2018-09-27,-780.0,625.26
2504,2018-09-27,-8.7,616.56
2505,2018-09-27,-15.97,600.59
2506,2018-09-27,-8.1,592.49
2507,2018-09-27,-22.0,570.49
2508,2018-09-27,-6.1,564.39
2509,2018-09-27,-307.6,256.79
2510,2018-09-27,-7.94,248.85
2511,2018-09-28,61.34,310.19
2512,2018-09-28,61.34,371.53
2513,2018-09-28,61.34,432.87
2514,2018-09-29,-16.15,416.72
2515,2018-09-29,-43.07,373.65
2516,2018-09-29,-5.5,368.15
2517,2018-09-30,-14.5,353.65
2518,2018-10-01,-0.05,353.6
2519,2018-10-01,-11.0,342.6
2520,2018-10-01,-16.7,325.9
2521,2018-10-01,-80.0,245.9
2522,2018-10-02,-0.85,245.05
2523,2018-10-02,-0.43,244.62
2524,2018-10-02,-15.08,229.54
2525,2018-10-02,-6.5,223.04
2526,2018-10-02,-29.95,193.09
2528,2018-10-02,-570.0,193.09
2530,2018-10-02,61.34,313.43
2532,2018-10-02,-35.21,320.63
2533,2018-10-02,-7.2,313.43
2535,2018-10-03,-4.3,5059.13
2536,2018-10-03,-6.5,5052.63
2537,2018-10-03,-24.94,5027.69
2538,2018-10-04,-37.36,4990.33
2539,2018-10-04,-56.07,4934.26
2540,2018-10-04,-59.0,4875.26
2541,2018-10-04,-4750.0,125.26
2542,2018-10-04,-8.1,117.16
2543,2018-10-04,-3.5,113.66
2544,2018-10-05,-20.0,93.66
2545,2018-10-05,-7.0,86.66
2546,2018-10-05,-12.3,74.36
2547,2018-10-06,-12.0,62.36
2548,2018-10-06,-30.0,32.36
2550,2018-10-06,-45.0,187.36
2551,2018-10-08,-10.2,177.16
2552,2018-10-08,-17.0,160.16
2553,2018-10-09,-6.6,153.56
2554,2018-10-09,-4.5,149.06
2555,2018-10-09,-15.76,133.3
2556,2018-10-09,-7.1,126.2
2557,2018-10-09,-8.5,117.7
2559,2018-10-09,-22.0,153.7
2560,2018-10-10,-8.0,145.7
2561,2018-10-10,-16.99,128.71
2562,2018-10-10,-8.0,120.71
2563,2018-10-10,-34.8,85.91
2564,2018-10-10,-13.8,72.11
2565,2018-10-10,-3.98,68.13
2566,2018-10-10,-8.0,60.13
2568,2018-10-10,2726.07,2886.2
2573,2018-10-11,-780.0,682.33
2574,2018-10-11,-7.0,675.33
2575,2018-10-11,-40.0,635.33
2576,2018-10-11,-8.0,627.33
2577,2018-10-11,-14.5,612.83
2578,2018-10-11,-49.96,562.87
2579,2018-10-12,-25.0,537.87
2580,2018-10-12,-41.34,496.53
2581,2018-10-12,-13.4,483.13
2582,2018-10-13,-6.6,476.53
2583,2018-10-13,-48.45,428.08
2584,2018-10-13,-24.24,403.84
2585,2018-10-13,-20.0,383.84
2586,2018-10-14,-24.0,359.84
2587,2018-10-14,-11.79,348.05
2588,2018-10-15,-8.0,340.05
2589,2018-10-16,-12.0,328.05
2590,2018-10-16,-3.3,324.75
2591,2018-10-16,-3.5,321.25
2592,2018-10-16,-11.99,309.26
2593,2018-10-16,-4.8,304.46
2597,2018-10-17,-356.82,415.22
2598,2018-10-17,-16.4,398.82
2599,2018-10-17,-8.5,390.32
2600,2018-10-17,-20.99,369.33
2601,2018-10-17,-22.36,346.97
2602,2018-10-17,-9.14,337.83
2603,2018-10-17,-9.14,328.69
2604,2018-10-17,-14.99,313.7
2605,2018-10-17,-8.5,305.2
2606,2018-10-18,-7.0,298.2
2607,2018-10-18,-8.7,289.5
2608,2018-10-18,-7.62,281.88
2609,2018-10-18,-3.0,278.88
2610,2018-10-18,-8.0,270.88
2611,2018-10-18,-8.0,262.88
2613,2018-10-18,-40.0,262.88
2614,2018-10-19,-109.58,153.3
2615,2018-10-19,-2.2,151.1
2616,2018-10-19,-7.62,143.48
2617,2018-10-19,-3.0,140.48
2618,2018-10-19,7.62,148.1
2619,2018-10-19,3.0,151.1
2620,2018-10-19,-5.0,146.1
2622,2018-10-20,-18.0,228.1
2623,2018-10-20,-12.0,216.1
2624,2018-10-20,-5.0,211.1
2625,2018-10-20,-50.0,161.1
2627,2018-10-22,-4.5,251.6
2628,2018-10-22,22.0,273.6
2629,2018-10-22,-4.4,269.2
2630,2018-10-23,-16.5,252.7
2631,2018-10-23,-3.3,249.4
2632,2018-10-23,-5.31,244.09
2633,2018-10-23,-105.0,139.09
2634,2018-10-23,-4.5,134.59
2635,2018-10-23,-7.5,127.09
2636,2018-10-23,-7.89,119.2
2638,2018-10-23,-19.99,139.21
2639,2018-10-24,-49.62,89.59
2640,2018-10-24,-17.06,72.53
2641,2018-10-24,-7.57,64.96
2642,2018-10-24,-7.8,57.16
2643,2018-10-24,-15.0,42.16
2644,2018-10-24,-5.22,36.94
2646,2018-10-24,2726.07,2863.01
2651,2018-10-25,-780.0,659.14
2652,2018-10-25,-5.99,653.15
2653,2018-10-25,-15.0,638.15
2654,2018-10-25,-9.93,628.22
2655,2018-10-25,-160.0,468.22
2656,2018-10-26,-20.0,448.22
2657,2018-10-26,-17.3,430.92
2658,2018-10-27,-10.0,420.92
2659,2018-10-29,-40.0,380.92
2660,2018-10-29,-29.91,351.01
2661,2018-10-30,-19.98,331.03
2662,2018-10-30,-10.65,320.38
2663,2018-10-30,-8.0,312.38
2664,2018-10-30,-24.8,287.58
2665,2018-10-31,-52.6,234.98
2666,2018-10-31,-9.99,224.99
2667,2018-10-31,-18.25,206.74
2668,2018-10-31,-8.5,198.24
2669,2018-10-31,-7.3,190.94
2670,2018-10-31,-7.3,183.64
2671,2018-10-31,-40.0,143.64
2672,2018-11-01,-11.95,131.69
2673,2018-11-01,-12.0,119.69
2674,2018-11-01,-22.5,97.19
2675,2018-11-02,-2.2,94.99
2676,2018-11-02,-2.0,92.99
2677,2018-11-02,-8.5,84.49
2679,2018-11-03,-7.0,177.49
2680,2018-11-03,-59.0,118.49
2681,2018-11-03,-8.0,110.49
2683,2018-11-04,-60.0,130.49
2686,2018-11-05,-33.4,216.09
2687,2018-11-05,-7.0,209.09
2688,2018-11-06,-7.15,201.94
2689,2018-11-06,-2.2,199.74
2690,2018-11-06,-5.5,194.24
2691,2018-11-06,-7.0,187.24
2692,2018-11-07,-62.48,124.76
2693,2018-11-07,-3.5,121.26
2694,2018-11-07,-10.79,110.47
2695,2018-11-07,-12.7,97.77
2696,2018-11-07,-7.5,90.27
2698,2018-11-07,-16.0,114.27
2700,2018-11-07,2726.07,2860.34
2705,2018-11-08,-780.0,656.47
2706,2018-11-08,-53.1,603.37
2707,2018-11-08,-4.99,598.38
2708,2018-11-08,-4.3,594.08
2709,2018-11-08,-4.99,589.09
2710,2018-11-08,-19.98,569.11
2711,2018-11-10,-25.0,544.11
2712,2018-11-10,-15.12,528.99
2713,2018-11-10,-50.0,478.99
2714,2018-11-10,-10.0,468.99
2715,2018-11-10,-10.0,458.99
2716,2018-11-11,-8.6,450.39
2717,2018-11-13,-7.0,443.39
2718,2018-11-13,-17.15,426.24
2719,2018-11-13,-4.8,421.44
2720,2018-11-13,-19.5,401.94
2721,2018-11-13,-10.5,391.44
2722,2018-11-13,-7.5,383.94
2723,2018-11-14,-14.3,369.64
2724,2018-11-14,-11.99,357.65
2725,2018-11-14,-125.0,232.65
2726,2018-11-14,-4.5,228.15
2727,2018-11-14,-45.16,182.99
2728,2018-11-14,-40.0,142.99
2729,2018-11-14,-4.0,138.99
2730,2018-11-14,-15.8,123.19
2731,2018-11-15,-7.0,116.19
2732,2018-11-15,-17.99,98.2
2733,2018-11-15,-5.0,93.2
2734,2018-11-15,-8.25,84.95
2735,2018-11-16,-4.5,80.45
2736,2018-11-16,-12.9,67.55
2738,2018-11-16,-84.92,182.63
2739,2018-11-17,-7.0,175.63
2740,2018-11-18,-28.6,147.03
2743,2018-11-20,-7.49,303.54
2744,2018-11-20,-11.51,292.03
2745,2018-11-20,-5.8,286.23
2746,2018-11-20,-3.5,282.73
2747,2018-11-20,-20.14,262.59
2748,2018-11-20,18.18,280.77
2749,2018-11-20,19.18,299.95
2750,2018-11-20,14.18,314.13
2751,2018-11-21,-111.0,203.13
2752,2018-11-21,-38.49,164.64
2753,2018-11-21,-19.63,145.01
2754,2018-11-21,-21.5,123.51
2755,2018-11-21,-21.12,102.39
2756,2018-11-21,14.21,116.6
2757,2018-11-21,14.21,130.81
2758,2018-11-21,2726.06,2856.87
2763,2018-11-22,-780.0,653.0
2764,2018-11-22,-7.0,646.0
2765,2018-11-22,-4.5,641.5
2766,2018-11-22,-20.0,621.5
2767,2018-11-22,-3.45,618.05
2768,2018-11-23,-6.6,611.45
2769,2018-11-23,-16.5,594.95
2770,2018-11-23,19.18,614.13
2771,2018-11-23,-8.08,606.05
2772,2018-11-23,-19.7,586.35
2773,2018-11-24,-42.65,543.7
2774,2018-11-24,-32.48,511.22
2775,2018-11-24,-34.0,477.22
2776,2018-11-24,32.0,509.22
2777,2018-11-25,-25.66,483.56
2778,2018-11-26,4.4,487.96
2779,2018-11-26,-160.0,327.96
2780,2018-11-27,-5.3,322.66
2781,2018-11-27,-2.2,320.46
2782,2018-11-28,-62.79,257.67
2783,2018-11-28,-4.5,253.17
2784,2018-11-29,-3.54,249.63
2785,2018-11-29,-2.2,247.43
2786,2018-11-29,-2.2,245.23
2787,2018-11-30,-7.0,238.23
2788,2018-11-30,-17.5,220.73
2790,2018-11-30,-108.78,220.73
2791,2018-11-30,-40.0,180.73
2793,2018-11-30,-152.0,328.73
2794,2018-12-01,-3.54,325.19
2795,2018-12-01,-3.54,321.65
2796,2018-12-01,-1.8,319.85
2797,2018-12-02,-29.5,290.35
2800,2018-12-02,-6.0,393.35
2801,2018-12-03,36.5,429.85
2804,2018-12-03,-40.0,389.85
2805,2018-12-04,-7.0,382.85
2806,2018-12-04,-5.0,377.85
2807,2018-12-04,-30.0,347.85
2808,2018-12-04,-109.58,238.27
2809,2018-12-04,-10.99,227.28
2810,2018-12-04,-20.0,207.28
2811,2018-12-04,-5.3,201.98
2812,2018-12-04,-7.5,194.48
2813,2018-12-04,-7.5,186.98
2815,2018-12-04,-15.25,185.68
2817,2018-12-04,-5.36,200.32
2818,2018-12-05,-58.26,142.06
2819,2018-12-05,-59.0,83.06
2820,2018-12-05,-14.99,68.07
2821,2018-12-05,-19.0,49.07
2822,2018-12-05,-7.0,42.07
2823,2018-12-05,-13.5,28.57
2824,2018-12-05,6386.07,6414.64
2825,2018-12-06,-8.1,6406.54
2830,2018-12-06,-780.0,4202.67
2831,2018-12-06,-2641.0,1561.67
2835,2018-12-07,-5.7,525.97
2836,2018-12-07,-29.49,496.48
2837,2018-12-08,-40.0,456.48
2838,2018-12-09,-8.4,448.08
2839,2018-12-10,-143.25,304.83
2840,2018-12-10,48.0,352.83
2841,2018-12-11,-3.54,349.29
2842,2018-12-11,-3.54,345.75
2843,2018-12-11,-10.0,335.75
2844,2018-12-11,-2.1,333.65
2845,2018-12-11,-6.0,327.65
2846,2018-12-11,-5.0,322.65
2847,2018-12-11,-3.99,318.66
2848,2018-12-11,-2.2,316.46
2849,2018-12-11,-4.5,311.96
2850,2018-12-11,-7.2,304.76
2851,2018-12-13,-15.87,288.89
2852,2018-12-13,-40.0,248.89
2853,2018-12-13,-8.1,240.79
2854,2018-12-13,-4.5,236.29
2855,2018-12-13,-7.5,228.79
2856,2018-12-13,-10.5,218.29
2857,2018-12-14,-3.54,214.75
2858,2018-12-14,-3.54,211.21
2859,2018-12-14,-3.54,207.67
2860,2018-12-14,-3.54,204.13
2861,2018-12-14,-7.49,196.64
2862,2018-12-14,-8.5,188.14
2863,2018-12-14,-11.99,176.15
2864,2018-12-14,-10.99,165.16
2865,2018-12-15,-3.5,161.66
2866,2018-12-15,-32.98,128.68
2868,2018-12-18,-14.2,314.48
2869,2018-12-18,-9.0,305.48
2870,2018-12-18,-6.0,299.48
2871,2018-12-18,-10.5,288.98
2872,2018-12-18,-34.68,254.3
2873,2018-12-19,-55.66,198.64
2874,2018-12-19,-10.05,188.59
2875,2018-12-19,-19.78,168.81
2876,2018-12-19,-9.0,159.81
2877,2018-12-19,-8.3,151.51
2878,2018-12-19,-8.12,143.39
2879,2018-12-19,-95.0,48.39
2880,2018-12-19,-8.0,40.39
2881,2018-12-19,-8.3,32.09
2883,2018-12-19,3324.95,3400.04
2888,2018-12-20,-780.0,1196.17
2889,2018-12-20,-18.18,1177.99
2890,2018-12-20,-10.99,1167.0
2891,2018-12-20,-7.75,1159.25
2892,2018-12-20,-28.0,1131.25
2893,2018-12-20,-6.9,1124.35
2896,2018-12-21,-27.99,536.36
2897,2018-12-21,-10.98,525.38
2898,2018-12-21,37.0,562.38
2899,2018-12-21,31.5,593.88
2900,2018-12-21,33.5,627.38
2901,2018-12-21,-177.5,449.88
2902,2018-12-21,-26.68,423.2
2903,2018-12-21,30.0,453.2
2904,2018-12-22,-21.05,432.15
2905,2018-12-22,-3.2,428.95
2906,2018-12-22,-40.0,388.95
2907,2018-12-22,-52.0,336.95
2908,2018-12-25,-10.0,326.95
2909,2018-12-25,-10.99,315.96
2910,2018-12-25,-77.59,238.37
2911,2018-12-25,-9.5,228.87
2912,2018-12-26,-52.0,176.87
2913,2018-12-27,-160.0,16.87
2914,2018-12-28,-1.99,14.88
2915,2018-12-28,-5.21,9.67
2916,2018-12-28,-8.15,1.52
2917,2018-12-28,-10.0,-8.48
2918,2018-12-28,-34.0,-42.48
2919,2018-12-28,-14.99,-57.47
2921,2018-12-28,-44.0,198.53
2923,2018-12-28,-159.95,438.58
2925,2018-12-29,11.0,309.58
2926,2018-12-29,20.0,329.58
2927,2018-12-29,150.0,479.58
2930,2018-12-30,-106.0,423.58
2931,2018-12-30,-50.0,373.58
2932,2018-12-31,-40.25,333.33
2933,2019-01-01,-0.03,333.3
2934,2019-01-01,-7.5,325.8
2935,2019-01-01,-19.99,305.81
2936,2019-01-01,-12.99,292.82
2937,2019-01-01,-22.15,270.67
2938,2019-01-01,-11.99,258.68
2941,2019-01-02,-25.5,437.18
2942,2019-01-02,2736.31,3173.49
2947,2019-01-03,-780.0,969.62
2948,2019-01-03,-38.97,930.65
2949,2019-01-03,-109.58,821.07
2950,2019-01-03,-20.0,801.07
2951,2019-01-03,-21.85,779.22
2952,2019-01-03,-18.64,760.58
2953,2019-01-03,-17.0,743.58
2954,2019-01-03,-9.54,734.04
2955,2019-01-03,-4.5,729.54
2956,2019-01-03,-12.5,717.04
2957,2019-01-03,-4.99,712.05
2959,2019-01-03,-3.55,558.5
2960,2019-01-04,-59.0,499.5
2961,2019-01-04,-263.5,236.0
2962,2019-01-04,-39.95,196.05
2963,2019-01-05,-18.0,178.05
2964,2019-01-05,-12.0,166.05
2965,2019-01-05,-22.0,144.05
2967,2019-01-06,-12.4,331.65
2968,2019-01-06,-4.2,327.45
2970,2019-01-07,-7.5,519.95
2971,2019-01-08,-15.21,504.74
2972,2019-01-08,-23.0,481.74
2973,2019-01-08,-40.13,441.61
2974,2019-01-08,-4.15,437.46
2975,2019-01-08,-14.5,422.96
2976,2019-01-08,-40.0,382.96
2977,2019-01-08,-4.5,378.46
2978,2019-01-08,-29.01,349.45
2980,2019-01-08,-129.0,420.45
2981,2019-01-08,-8.31,412.14
2982,2019-01-08,-1.89,410.25
2983,2019-01-08,-6.0,404.25
2984,2019-01-08,-9.06,395.19
2985,2019-01-09,-9.78,385.41
2986,2019-01-09,-13.35,372.06
2987,2019-01-09,-40.21,331.85
2988,2019-01-09,-8.0,323.85
2989,2019-01-09,-33.6,290.25
2990,2019-01-09,-6.6,283.65
2991,2019-01-09,-17.81,265.84
2992,2019-01-10,-26.33,239.51
2993,2019-01-10,-7.0,232.51
2994,2019-01-10,-18.22,214.29
2995,2019-01-10,-89.0,125.29
2996,2019-01-10,1.0,126.29
2997,2019-01-10,-1.0,125.29
2998,2019-01-10,-13.0,112.29
2999,2019-01-10,-7.0,105.29
3000,2019-01-11,-3.5,101.79
3001,2019-01-11,-9.0,92.79
3003,2019-01-11,-218.25,134.54
3004,2019-01-11,72.75,207.29
3005,2019-01-11,-8.5,198.79
3006,2019-01-12,72.75,271.54
3007,2019-01-12,-14.5,257.04
3008,2019-01-12,-24.48,232.56
3012,2019-01-13,-20.5,566.78
3013,2019-01-13,24.0,590.78
3014,2019-01-14,32.0,622.78
3015,2019-01-14,24.0,646.78
3016,2019-01-15,-9.0,637.78
3017,2019-01-15,-11.99,625.79
3018,2019-01-15,-14.99,610.8
3019,2019-01-15,-11.0,599.8
3020,2019-01-15,-7.0,592.8
3021,2019-01-16,-29.0,563.8
3022,2019-01-16,-79.2,484.6
3023,2019-01-16,-58.16,426.44
3024,2019-01-16,-18.0,408.44
3025,2019-01-16,-236.99,171.45
3026,2019-01-16,-1.49,169.96
3027,2019-01-16,-27.3,142.66
3028,2019-01-16,-17.99,124.67
3032,2019-01-16,-19.98,304.69
3033,2019-01-16,2772.64,3077.33
3034,2019-01-16,75.0,3152.33
3039,2019-01-17,-780.0,948.46
3040,2019-01-17,-15.0,933.46
3042,2019-01-18,-104.34,669.12
3043,2019-01-18,-104.96,564.16
3044,2019-01-18,-9.9,554.26
3045,2019-01-18,-10.0,544.26
3046,2019-01-18,-6.5,537.76
3047,2019-01-19,-9.0,528.76
3049,2019-01-19,228.4,1099.16
3050,2019-01-19,-36.0,1063.16
3051,2019-01-19,1.0,1064.16
3052,2019-01-19,-1.0,1063.16
3053,2019-01-20,-14.91,1048.25
3054,2019-01-20,-5.99,1042.26
3055,2019-01-21,-40.0,1002.26
3057,2019-01-21,-10.5,751.76
3058,2019-01-22,-11.36,740.4
3059,2019-01-22,-3.0,737.4
3060,2019-01-22,-105.0,632.4
3061,2019-01-22,-18.15,614.25
3062,2019-01-22,-15.19,599.06
3063,2019-01-23,-29.2,569.86
3064,2019-01-23,-342.57,227.29
3065,2019-01-23,-8.55,218.74
3066,2019-01-23,-32.02,186.72
3067,2019-01-23,-2.95,183.77
3068,2019-01-23,-22.48,161.29
3069,2019-01-24,-4.0,157.29
3070,2019-01-24,-5.59,151.7
3071,2019-01-24,-10.58,141.12
3072,2019-01-24,-14.99,126.13
3073,2019-01-25,-7.5,118.63
3074,2019-01-25,-160.0,-41.37
3075,2019-01-26,-9.95,-51.32
3078,2019-01-26,-37.96,510.72
3079,2019-01-27,-31.46,479.26
3080,2019-01-28,-3.6,475.66
3081,2019-01-29,-14.3,461.36
3082,2019-01-29,-10.0,451.36
3083,2019-01-30,-33.4,417.96
3084,2019-01-30,-16.74,401.22
3085,2019-01-30,-13.5,387.72
3086,2019-01-30,-14.45,373.27
3087,2019-01-30,-5.99,367.28
3088,2019-01-30,-58.97,308.31
3089,2019-01-30,-29.44,278.87
3090,2019-01-30,-19.74,259.13
3091,2019-01-30,-43.2,215.93
3092,2019-01-30,2772.64,2988.57
3093,2019-01-31,-11.99,2976.58
3094,2019-01-31,-52.46,2924.12
3095,2019-01-31,-7.95,2916.17
3096,2019-01-31,-12.87,2903.3
3097,2019-01-31,-87.11,2816.19
3102,2019-01-31,-780.0,612.32
3103,2019-01-31,-6.2,606.12
